实验室现有设备,
,
设备名称,数量
STM32F407正点原子开发板,5台
STM32G431蓝桥杯嵌入式开发板,19台
STM32F103最小系统板套件,2套
NVIDIA英伟达Jetson Orin Nano,5台
正点原子Liunx设备,1台
Raspberry Pi树莓派4B开发套件,8套
51单片机开发板套件,1套
六轴自由度视觉机械,1个
焊台(带热风枪),1台
加热台,1台
可调电源,1台
TI-MSPM0G3507核心板(立创版),1个
